Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
UK10YB/GBP,122.52,0.03,0.0000,0.0000,0.01000,0.013596,7.9954,20.833,1.00,0.000,UK10YB/GBP
US2000/USD,1559.29,0.30,0.0000,0.0000,0.01000,0.010000,101.3539,15.385,1.00,0.000,US2000/USD
US30/USD,24028,2,0.0000,0.0000,1.00000,1.000000,1994.2825,12.048,1.00,0.000,US30/USD
USB02Y/USD,106.12,0.02,0.0000,0.0000,0.01000,0.010000,2.1225,50.000,1.00,0.000,USB02Y/USD
USB05Y/USD,113.55,0.02,0.0000,0.0000,0.01000,0.010000,2.2709,50.000,1.00,0.000,USB05Y/USD
USB10Y/USD,119.72,0.03,0.0000,0.0000,0.01000,0.010000,2.3943,50.000,1.00,0.000,USB10Y/USD
USB30Y/USD,143.91,0.04,0.0000,0.0000,0.01000,0.010000,3.0221,47.619,1.00,0.000,USB30Y/USD
USD/CAD,1.28576,0.00018,0.0000,0.0000,0.00010,0.000078,0.0220,45.455,1.00,0.000,USD/CAD
USD/CHF,0.99829,0.00016,0.0000,0.0000,0.00010,0.000100,0.0300,33.333,1.00,0.000,USD/CHF
USD/CNH,6.36673,0.00122,0.0000,0.0000,0.00010,0.000016,0.2501,4.000,1.00,0.000,USD/CNH
USD/CZK,21.37954,0.00804,0.0000,0.0000,0.00010,0.000005,0.1000,10.000,1.00,0.000,USD/CZK
USD/DKK,6.22857,0.00142,0.0000,0.0000,0.00010,0.000016,0.1000,10.000,1.00,0.000,USD/DKK
USD/HKD,7.85004,0.00039,0.0000,0.0000,0.00010,0.000013,0.1000,10.000,1.00,0.000,USD/HKD
USD/HUF,263.07,0.19,0.0000,0.0000,0.01000,0.000038,0.1001,10.000,1.00,0.000,USD/HUF
USD/INR,66.83,0.10,0.0000,0.0000,0.01000,0.000150,0.2504,4.000,1.00,0.000,USD/INR
USD/JPY,109.90,0.01,0.0000,0.0000,0.01000,0.000091,0.0400,25.000,1.00,0.000,USD/JPY
USD/MXN,19.05615,0.00616,0.0000,0.0000,0.00010,0.000005,0.0800,12.500,1.00,0.000,USD/MXN
USD/NOK,8.12584,0.00334,0.0000,0.0000,0.00010,0.000012,0.0300,33.333,1.00,0.000,USD/NOK
USD/PLN,3.56596,0.00232,0.0000,0.0000,0.00010,0.000028,0.1001,10.000,1.00,0.000,USD/PLN
USD/SAR,3.75125,0.00180,0.0000,0.0000,0.00010,0.000027,0.1001,10.000,1.00,0.000,USD/SAR
USD/SEK,8.92569,0.00333,0.0000,0.0000,0.00010,0.000011,0.0300,33.333,1.00,0.000,USD/SEK
USD/SGD,1.33572,0.00023,0.0000,0.0000,0.00010,0.000075,0.1000,10.000,1.00,0.000,USD/SGD
USD/THB,31.81,0.10,0.0000,0.0000,0.01000,0.000315,0.2508,4.000,1.00,0.000,USD/THB
USD/TRY,4.17403,0.00381,0.0000,0.0000,0.00010,0.000024,0.2502,4.000,1.00,0.000,USD/TRY
USD/ZAR,12.66168,0.00954,0.0000,0.0000,0.00010,0.000008,0.2502,4.000,1.00,0.000,USD/ZAR
WHEAT/USD,5.14,0.01,0.0000,0.0000,0.01000,0.010000,0.3187,16.129,1.00,0.000,WHEAT/USD
WTICO/USD,67.42,0.03,0.0000,0.0000,0.01000,0.010000,2.7641,24.390,1.00,0.000,WTICO/USD
XAG/AUD,21.82884,0.02761,0.0000,0.0000,0.00010,0.000075,3.7635,4.348,1.00,0.000,XAG/AUD
XAG/CAD,21.04231,0.02558,0.0000,0.0000,0.00010,0.000078,3.6337,4.505,1.00,0.000,XAG/CAD
XAG/CHF,16.33720,0.02012,0.0000,0.0000,0.00010,0.000100,3.7648,4.348,1.00,0.000,XAG/CHF
XAG/EUR,13.68249,0.01642,0.0000,0.0000,0.00010,0.000120,3.7638,4.348,1.00,0.000,XAG/EUR
XAG/GBP,12.03563,0.01464,0.0000,0.0000,0.00010,0.000136,3.7635,4.348,1.00,0.000,XAG/GBP
XAG/HKD,128.47509,0.14658,0.0000,0.0000,0.00010,0.000013,4.9101,3.333,1.00,0.000,XAG/HKD
XAG/JPY,1798,2,0.0000,0.0000,1.00000,0.009102,3.9285,4.167,1.00,0.000,XAG/JPY
XAG/NZD,23.38826,0.03154,0.0000,0.0000,0.00010,0.000070,3.7642,4.348,1.00,0.000,XAG/NZD
XAG/SGD,21.86013,0.02762,0.0000,0.0000,0.00010,0.000075,4.9107,3.333,1.00,0.000,XAG/SGD
XAG/USD,16.36617,0.01786,0.0000,0.0000,0.00010,0.000100,3.2732,5.000,1.00,0.000,XAG/USD
XAU/AUD,1742.17,0.71,0.0000,0.0000,0.01000,0.007496,300.3634,4.348,1.00,0.000,XAU/AUD
XAU/CAD,1679.39,0.60,0.0000,0.0000,0.01000,0.007779,290.0102,4.505,1.00,0.000,XAU/CAD
XAU/CHF,1303.88,0.49,0.0000,0.0000,0.01000,0.010019,300.4656,4.348,1.00,0.000,XAU/CHF
XAU/EUR,1092.00,0.38,0.0000,0.0000,0.01000,0.011960,300.3860,4.348,1.00,0.000,XAU/EUR
XAU/GBP,960.57,0.34,0.0000,0.0000,0.01000,0.013596,300.3685,4.348,1.00,0.000,XAU/GBP
XAU/HKD,10253.64,2.91,0.0000,0.0000,0.01000,0.001274,391.8762,3.333,1.00,0.000,XAU/HKD
XAU/JPY,143545,52,0.0000,0.0000,10.00000,0.091019,313.5682,4.167,1.00,0.000,XAU/JPY
XAU/NZD,1866.63,0.92,0.0000,0.0000,0.01000,0.006998,300.4236,4.348,1.00,0.000,XAU/NZD
XAU/SGD,1744.66,0.71,0.0000,0.0000,0.01000,0.007488,391.9243,3.333,1.00,0.000,XAU/SGD
XAU/USD,1305.70,0.32,0.0000,0.0000,0.01000,0.010000,261.1406,5.000,1.00,0.000,XAU/USD
XAU/XAG,79.90,0.12,0.0000,0.0000,0.01000,0.163483,522.5116,2.500,1.00,0.000,XAU/XAG
XCU/USD,3.04087,0.00150,0.0000,0.0000,0.00010,0.000100,0.1490,20.408,1.00,0.000,XCU/USD
XPT/USD,896.78,1.50,0.0000,0.0000,0.01000,0.010000,179.3560,5.000,1.00,0.000,XPT/USD
ZAR/JPY,8.69,0.02,0.0000,0.0000,0.01000,0.000091,0.0229,3.448,1.00,0.000,ZAR/JPY
